Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,Symbol
DRR018533,2014-08-29 09:46:05,2014-08-29 09:46:59,1007478,177960819,0,176,104,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/018/DRR018533/DRR018533.sralite.1,DRX016722,NA,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,DRP002320,PRJDB2495,NA,260136,DRS016191,SAMD00012307,simple,408170,human gut metagenome,SAMD00012307,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NCCS,DRA002238,NA,public,0D521ADE9566ED9DDE51C1FC53568E13,4ACCFD5DFBB72D1469718E7587D3DA56,DRR018533
DRR018534,2014-08-29 09:46:05,2014-08-29 09:48:14,906371,156657690,0,172,90,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/018/DRR018534/DRR018534.sralite.1,DRX016723,NA,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,DRP002320,PRJDB2495,NA,260136,DRS016192,SAMD00012306,simple,408170,human gut metagenome,SAMD00012306,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NCCS,DRA002238,NA,public,02B36C6D407A690F6678638BB1D58D3B,81AC000D7956890BA3E78AAF4796E6FB,DRR018534
DRR018535,2014-08-29 09:46:06,2014-08-29 09:48:44,1559650,265415278,0,170,152,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/018/DRR018535/DRR018535.sralite.1,DRX016724,NA,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,DRP002320,PRJDB2495,NA,260136,DRS016193,SAMD00012295,simple,408170,human gut metagenome,SAMD00012295,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NCCS,DRA002238,NA,public,0504459C7BEEDF214D12DD47BB17C96F,D61D1ECDBD458156EEEA6F705F661271,DRR018535
DRR018536,2014-08-29 09:46:05,2014-08-29 09:47:31,1499454,254983456,0,170,143,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/018/DRR018536/DRR018536.sralite.1,DRX016725,NA,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,DRP002320,PRJDB2495,NA,260136,DRS016194,SAMD00012287,simple,408170,human gut metagenome,SAMD00012287,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NCCS,DRA002238,NA,public,B3AB6C56A4FA092B9B6A157AE9A277BE,4D85DD7257C44A37D07E2FD6EDBE3930,DRR018536
DRR018537,2014-08-29 09:46:06,2014-08-29 09:48:57,1598780,279836714,0,175,163,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/018/DRR018537/DRR018537.sralite.1,DRX016726,NA,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,DRP002320,PRJDB2495,NA,260136,DRS016195,SAMD00012283,simple,408170,human gut metagenome,SAMD00012283,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NCCS,DRA002238,NA,public,749051E73E31033FC0882D5492458391,C09E227C52F10F1F1BFC53B883FB7F89,DRR018537
DRR018538,2014-08-29 09:46:05,2014-08-29 09:47:16,2295833,394078938,0,171,228,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/018/DRR018538/DRR018538.sralite.1,DRX016727,NA,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,DRP002320,PRJDB2495,NA,260136,DRS016196,SAMD00012301,simple,408170,human gut metagenome,SAMD00012301,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NCCS,DRA002238,NA,public,597A187006B83EDA0C2344F07DDE3BD8,CB0AEAC54F4A46419DFD24C4CE44D044,DRR018538
DRR018539,2014-08-29 09:46:06,2014-08-29 09:48:37,1714320,294261132,0,171,168,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/018/DRR018539/DRR018539.sralite.1,DRX016728,NA,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,DRP002320,PRJDB2495,NA,260136,DRS016197,SAMD00012288,simple,408170,human gut metagenome,SAMD00012288,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NCCS,DRA002238,NA,public,B05EEBEF473A0074BEC673B527307ED4,F3FB3B4D2F320F0C2A46C6E3C75396D6,DRR018539
DRR018540,2014-08-29 09:46:06,2014-08-29 09:48:47,2202783,382500903,0,173,224,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/018/DRR018540/DRR018540.sralite.1,DRX016729,NA,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,DRP002320,PRJDB2495,NA,260136,DRS016198,SAMD00012293,simple,408170,human gut metagenome,SAMD00012293,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NCCS,DRA002238,NA,public,608ADC2725B88C2581E86346687F3DBA,4E9F2AF8B4DEFD5DEF49F37312A57995,DRR018540
DRR018541,2014-08-29 09:46:06,2014-08-29 09:48:59,1432341,249115959,0,173,147,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/018/DRR018541/DRR018541.sralite.1,DRX016730,NA,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,DRP002320,PRJDB2495,NA,260136,DRS016199,SAMD00012289,simple,408170,human gut metagenome,SAMD00012289,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NCCS,DRA002238,NA,public,5885B77BD0C0306657D7AED6E0E331C5,8008C7CC01686902887F91462585B988,DRR018541
DRR018542,2014-08-29 09:46:05,2014-08-29 09:46:35,1594926,273348238,0,171,160,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/018/DRR018542/DRR018542.sralite.1,DRX016731,NA,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,DRP002320,PRJDB2495,NA,260136,DRS016200,SAMD00012290,simple,408170,human gut metagenome,SAMD00012290,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NCCS,DRA002238,NA,public,5BDE0E99B46658915999CBBD1CA2F599,5CD858740CDF7F20FBC67BF946466B60,DRR018542
